fecha,temp,hum,p_rocio,pres_bar,viento,lluvia,r_solar,r_uv
18/10/21 3:20,16.6,62,9.2,1021.1,0.0,0.0,0,0.0
18/10/21 4:19,16.2,64,9.3,1021.5,0.0,0.0,0,0.0
18/10/21 5:20,14.6,72,9.6,1021.9,0.0,0.0,0,0.0
18/10/21 6:19,14.0,79,10.4,1022.5,9.7,0.0,16,0.0
18/10/21 7:20,14.2,80,10.8,1023.2,4.8,0.0,185,2.2
18/10/21 8:20,15.7,76,11.4,1023.6,3.2,0.0,371,3.1
18/10/21 9:19,17.4,70,11.9,1023.6,3.2,0.0,538,4.5
18/10/21 10:19,19.2,63,12.0,1023.6,0.0,0.0,671,6.1
18/10/21 11:19,20.7,57,11.9,1023.5,0.0,0.0,694,7.6
18/10/21 12:20,21.9,51,11.3,1023.2,8.0,0.0,100,5.1
18/10/21 13:19,22.2,49,10.9,1022.6,4.8,0.0,186,8.4
18/10/21 14:19,21.4,68,15.2,1022.0,0.0,0.0,884,7.0
18/10/21 15:20,20.7,72,15.4,1021.6,0.0,0.0,575,4.3
18/10/21 16:19,20.1,72,14.9,1021.6,0.0,0.0,487,3.6
18/10/21 17:20,19.3,69,13.5,1021.8,0.0,0.0,258,2.4
18/10/21 18:19,18.2,71,12.8,1022.2,0.0,0.0,76,1.8
18/10/21 19:20,17.2,71,11.9,1022.4,0.0,0.0,0,0.0
18/10/21 20:19,16.8,70,11.3,1022.9,0.0,0.0,0,0.0
18/10/21 21:19,16.6,73,11.7,1023.4,0.0,0.0,0,0.0
18/10/21 22:20,16.2,73,11.4,1023.6,0.0,0.0,0,0.0
18/10/21 23:19,16.0,75,11.6,1023.5,0.0,0.0,0,0.0
19/10/21 0:19,15.7,78,11.9,1023.7,0.0,0.0,0,0.0
19/10/21 1:19,15.6,79,11.9,1023.5,0.0,0.0,0,0.0
19/10/21 2:19,15.2,80,11.8,1023.1,0.0,0.0,0,0.0
19/10/21 3:20,15.0,80,11.6,1022.7,0.0,0.0,0,0.0
